C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_103.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_103.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_103.jpg, 0, 0, 0, 18.68333
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_204.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_204.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_204.jpg, 0, 0, 0, 18.7753
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_307.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_307.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_307.jpg, 0, 0, 0, 18.17722
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_412.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_412.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_412.jpg, 0, 0, 0, 17.91356
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_516.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_516.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_516.jpg, -0.3115878, 0, 0, 18.17892
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_621.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_621.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_621.jpg, -0.5229372, 0, 0, 17.35256
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_739.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_739.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_739.jpg, -0.1332762, 0, 0, 17.14767
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_842.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_842.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_842.jpg, 0, 0, 0, 17.45629
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_55_943.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_55_943.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_55_943.jpg, 0, 0, 0, 16.74635
C:\Users\user\Downloads\simulator-windows-64\IMG\center_2024_10_23_08_44_56_051.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\left_2024_10_23_08_44_56_051.jpg, C:\Users\user\Downloads\simulator-windows-64\IMG\right_2024_10_23_08_44_56_051.jpg, -0.1047567, 0, 0, 16.53177
